language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
english,delete,gpt-5,,15,5,ok,-24.75629198771393,1.3074103637760595,0.7864125492517533,5.699999999999998,0.3615812998173522,15.764089577860565,5.495858812638825e-56,1.0350534097136454e-54,True
english,delete,gpt-5 mini,,15,5,ok,-26.159133620004546,1.362992994891468,1.7900021809235314,4.800000000000001,0.36918735012070336,13.001528894288152,1.1992156289878558e-38,1.355113660756277e-37,True
english,delete,gpt-5 nano,,15,5,ok,-31.00500921129555,3.3073462421746815,2.342139029575273,3.3,0.5750953175061227,5.7381792192471925,9.569981693134689e-09,2.2766482764720418e-08,True
english,delete,gpt-oss-120b,,15,5,ok,-29.464193940530514,2.5481389467325783,2.0173103091123137,4.199999999999998,0.5047909415523003,8.320276087135065,8.775865187302216e-17,3.742161381755284e-16,True
english,delete,gpt-oss-20b,,3,1,ok,-2.8052328943245635,2.666666666666668,2.666666666666668,5.0,1.154700538379252,4.330127018922192,1.4902335792427773e-05,2.6107968132470363e-05,True
english,delete,bleurt_score,,15,5,ok,5.131466174746841,0.011112550276252298,0.014323904099507715,-0.08671519234776495,0.033335492011146765,-2.601287310196862,0.009287463526301774,0.010875475424581352,True
english,delete,bertscore_f1__roberta-large,,15,5,ok,26.009446533160073,0.0004590154781371383,0.0005329934662056773,-0.08666203022003174,0.006775068103990825,-12.791314993421814,1.8334508706922912e-37,1.97314236560218e-36,True
english,delete,bertscore_f1__xlm-roberta-base,,15,5,ok,46.524600832508874,3.035877341802738e-05,7.318167458315831e-07,-0.014661824703216553,0.0017423769229999405,-8.414840962179717,3.934283107851443e-17,1.778295964748852e-16,True
english,delete,bertscore_precision__roberta-large,,15,5,ok,22.68127457076889,0.0006447154186989796,0.0014718807923239075,-0.06406738162040712,0.008029417280842862,-7.979082339295469,1.474252088965717e-15,5.744499519073311e-15,True
english,delete,bertscore_precision__xlm-roberta-base,,15,5,ok,44.10659081557652,3.2148655661153704e-05,2.1241329486554877e-05,-0.01088259220123291,0.001793004619658123,-6.069472483181847,1.2833107690005076e-09,3.187123448286975e-09,True
english,delete,bertscore_recall__roberta-large,,15,5,ok,21.544697754092997,0.0008959945482464396,0.0011212279003266269,-0.10884077548980708,0.009465698855586098,-11.498440543095839,1.3432029408673565e-30,1.2142554585440903e-29,True
english,delete,bertscore_recall__xlm-roberta-base,,15,5,ok,41.438358030934054,5.45440741846942e-05,1.8751008163347697e-05,-0.018309003114700323,0.0023354672805392554,-7.8395459732036175,4.5217838944931994e-15,1.7032052669257716e-14,True
english,modify,bleu_score,,15,5,ok,11.560800675572256,0.005078261168745276,0.002524789086373183,-0.11371491363745352,0.022534997600943463,-5.046147137494821,4.5080828967454796e-07,9.262061224222531e-07,True
english,modify,rouge_1,,15,5,ok,14.370717183717709,0.0036501230868798596,0.0009588009244828566,-0.07916517872714586,0.019105295304914442,-4.143624972223395,3.418586354181584e-05,5.639419825146262e-05,True
