language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
english,delete,rouge_l_score,,15,5,ok,25.905097817910054,0.00044278689967491364,0.0006361146710456831,-0.04763255725323399,0.006654223468406465,-7.1582443059491805,8.171683185070604e-13,2.6382862854656522e-12,True
english,delete,gpt-5,,15,5,ok,-24.75629198771393,1.3074103637760595,0.7864125492517533,5.699999999999998,0.3615812998173522,15.764089577860565,5.495858812638825e-56,1.0350534097136454e-54,True
english,delete,bertscore_f1__roberta-large,,15,5,ok,26.009446533160073,0.0004590154781371383,0.0005329934662056773,-0.08666203022003174,0.006775068103990825,-12.791314993421814,1.8334508706922912e-37,1.97314236560218e-36,True
english,modify,rouge_l_score,,15,5,ok,13.007983583999398,0.004369176356402976,0.00141285202035552,-0.08976474205711878,0.02090257485670839,-4.294434665225468,1.751390467438617e-05,3.0447249664702112e-05,True
english,modify,gpt-5,,15,5,ok,-44.11958553761733,29.18495529510811,8.349779748985394,10.000000000000005,1.7083604799663357,5.8535655192615215,4.811445799028741e-09,1.1692330651403178e-08,True
english,modify,bertscore_f1__roberta-large,,15,5,ok,10.17934036219632,0.006706899204138462,0.002264492310733292,-0.10391070544719713,0.025897681757521197,-4.01235548494681,6.0115881291651e-05,9.704420837080805e-05,True
english,synonyms,rouge_l_score,,15,5,ok,43.33664577837424,2.8824070600161802e-05,5.043074494582271e-05,-0.027482366884233934,0.0016977653135861212,-16.187376820759777,6.191222971200764e-59,1.2720149013557935e-57,True
english,synonyms,gpt-5,,15,5,ok,-8.784804428848524,0.15384615384615383,2.0413513410192568e-34,4.4408920985006264e-17,0.12403473458920845,3.580361673049448e-16,0.9999999999999997,1.0,False
english,synonyms,bertscore_f1__roberta-large,,15,5,ok,34.839418718689714,9.264372159216939e-05,0.0002729935393664139,-0.017001032829284623,0.0030437431164960257,-5.585567565523173,2.3293820128608558e-08,5.3175791404702365e-08,True
finnish,delete,rouge_l_score,,15,5,ok,26.951651499814822,0.0004117147853770763,0.00040977201671572416,-0.05662724626758618,0.0064165004899639526,-8.825253945847406,1.0921170770076586e-18,5.6095104409938826e-18,True
finnish,delete,gpt-5,,15,5,ok,-26.887377503397737,2.4923076923076968,3.8169222325720622e-34,5.600000000000003,0.4992301766027067,11.21727063477685,3.3546455501560914e-29,2.9159611320587563e-28,True
finnish,delete,bertscore_f1__roberta-large,,15,5,ok,38.405963317241586,6.419930491951947e-05,9.51797048097926e-05,-0.021096938848495395,0.002533758175507668,-8.32634268432834,8.337821689001414e-17,3.6237455802198455e-16,True
finnish,modify,rouge_l_score,,15,5,ok,11.460311854708454,0.0051156743210317695,0.0026569965261126127,-0.09848305480770968,0.022617856487810176,-4.354216981648407,1.3354338492410726e-05,2.357875390066269e-05,True
finnish,modify,gpt-5,,15,5,ok,-41.61703336571998,19.733064203376955,5.900472623420387,9.200000000000003,1.4047442544241626,6.549234831198008,5.783263045732916e-11,1.621964923676052e-10,True
finnish,modify,bertscore_f1__roberta-large,,15,5,ok,31.137953810025408,0.0002344206094714117,0.00016135841074997777,-0.015016472339630127,0.004841700212439962,-3.101487428124472,0.001925510484238386,0.0024585614092535323,True
finnish,synonyms,rouge_l_score,,15,5,ok,42.74964488655335,3.341134327358182e-05,4.661734143531565e-05,-0.025444778924495547,0.0018278770000626906,-13.92039996324855,4.762316308972207e-44,5.979352699042882e-43,True
finnish,synonyms,gpt-5,,15,5,ok,-8.63715686121111,0.06296497501672407,0.33454166828643583,0.1,0.07935047259892285,1.260231939706903,0.20758570399879217,0.22234298153425133,False
finnish,synonyms,bertscore_f1__roberta-large,,15,5,ok,53.45681726189306,6.985580842697698e-06,6.9154368698111184e-06,-0.004974907636642279,0.0008357978728554947,-5.952285592263544,2.644234257265802e-09,6.495618936326862e-09,True
swedish,delete,rouge_l_score,,15,5,ok,25.91440733644803,0.00043924888069189793,0.0006478630081309611,-0.050337231537382905,0.006627585387544229,-7.595108715156781,3.0753413558924277e-14,1.053071433987407e-13,True
swedish,delete,gpt-5,,15,5,ok,-22.76352091602913,0.7148139246748054,1.5172891661812025,5.700000000000001,0.2673600427653327,21.31956571013495,7.474884321459094e-101,3.3786477132995103e-99,True
swedish,delete,bertscore_f1__roberta-large,,15,5,ok,37.1051000544288,0.00010426941475517849,4.026595103633221e-05,-0.01825905442237869,0.0032290774960533,-5.654572999469847,1.562341870106242e-08,3.602951659632762e-08,True
swedish,modify,rouge_l_score,,15,5,ok,7.459320054079257,0.010649905788267154,0.00264466394707339,-0.11476110839236062,0.032634193399358226,-3.516590926209853,0.000437126909161467,0.0006252574776613389,True
swedish,modify,gpt-5,,15,5,ok,-46.28802510552507,49.300000000000026,7.147256015452708e-33,7.300000000000003,2.220360331117453,3.2877546485106284,0.0010098981002733415,0.001359371838099484,True
swedish,modify,bertscore_f1__roberta-large,,15,5,ok,31.087851592014673,0.00023831482490960324,0.00015719902864924827,-0.018897312879562377,0.004881749941461598,-3.8710120563661055,0.00010838443070988465,0.00016777315986598584,True
swedish,synonyms,rouge_l_score,,15,5,ok,33.93609851505872,7.227087194601177e-05,0.000810583388096246,-0.026519544420679286,0.002688324235392966,-9.86471202823598,5.920408716219074e-23,3.935330499604443e-22,True
swedish,synonyms,gpt-5,,15,5,ok,-12.487654349025377,0.14814789510638543,0.3061742902865315,2.2204460492503132e-17,0.12171601994248145,1.8242841413148532e-16,0.9999999999999999,1.0,False
